ID,Predict
0,25874.768596703394
1,14658.66920496876
2,5485.305977492165
3,38886.31195972693
4,40663.08892463511
5,44139.530591232244
6,12980.417119700207
7,30960.79173919698
8,10829.004642698235
9,18570.536157870603
10,2503.6732027151984
11,9103.95495862543
12,-88.45353856161405
13,13346.67178558321
14,50474.4936496311
15,15445.892443846542
16,28210.800705978414
17,16430.717790494447
18,3814.2290168450645
19,18138.73183390687
20,51360.57460662556
21,16155.506062315071
22,9898.33252821186
23,10295.83523631635
24,18153.825521456918
25,30951.205923814818
26,3467.3116286025606
27,5571.713290532045
28,25644.721663429707
29,13163.560626901828
30,670.9925916479847
31,15053.581561902629
32,5572.290853631361
33,13180.107353556436
34,24951.127223354073
35,19292.318047926434
36,39609.31615326686
37,30689.680234629755
38,14419.427219879815
39,47744.5312147796
40,4339.763682108578
41,9452.031284415058
42,9311.68256347837
43,9314.057359732591
44,20539.834305822566
45,15673.284593997154
46,7687.514226300928
47,12414.848574281135
48,18839.13232381423
49,8811.591008838664
50,18113.469970411858
51,18355.778329333472
52,20195.25836801768
53,13082.93139816684
54,15276.921121864694
55,14019.878126498419
56,108132.42381372947
57,15970.385938571264
58,10655.316438950418
59,19361.318374418915
60,14292.844144751165
61,9299.641819954244
62,9695.335898458969
63,4012.2728253303726
64,20656.576186584683
65,282.556429296239
66,17266.163641056093
67,48565.03943783484
68,19867.56448057556
69,22884.543903798993
70,33189.099151496615
71,12585.988432471624
72,14048.974167373573
73,2455.507673736244
74,12088.518442119761
75,8503.329406875675
76,9106.675446025429
77,11185.214832166068
78,9157.012665963834
79,8121.520278831425
80,38708.51963419803
81,33203.558522541076
82,20829.888752530453
83,18043.69120917988
84,9420.211357488788
85,9739.766831602068
86,21479.547893231927
87,27775.468904459616
88,22065.00544113019
89,3612.8862832609266
90,3835.3665657623096
91,3422.5959818461715
92,5693.885356333989
93,12643.452318932461
94,2243.319011441344
95,36996.91394574178
96,19950.347741855305
97,16928.113600098004
98,20865.4525070095
99,20988.440135299115
100,43098.15297024717
101,9208.742134308428
102,28433.693255422255
103,15792.90715676968
104,48040.149069323874
105,2298.7339164343284
106,46449.25156678754
107,5698.367625207478
108,5767.430214836946
109,6348.636396705648
110,6218.79915918176
111,15460.270729643153
112,7307.783945259885
113,22790.121621602495
114,40791.43149429435
115,11736.779030952022
116,15381.388849450776
117,5408.034591360899
118,17889.2817518548
119,10732.099750406334
120,333.784403813061
121,12647.771993742364
122,12798.49540811776
123,88898.84487416426
124,39706.09567505595
125,826.5660987567632
126,12152.740469280234
127,12009.288617261005
128,3579.1980338184544
129,7673.3295869958065
130,5480.745741607073
131,12565.77164173967
132,2153.4078639342024
133,16616.008018820863
134,24874.359055750374
135,17221.386070464734
136,8464.625483318361
137,2282.361036163188
138,6604.079532889498
139,13297.138046973436
140,12135.708998285734
141,3467.3116286025606
142,11153.596005025905
143,6417.494543419938
144,7207.173971325481
145,10611.361564885503
146,12381.964271506578
147,179.43113148810062
148,37110.1146902572
149,17211.80509222264
150,14258.682291586363
151,5605.013002271449
152,17803.291594714803
153,46887.157035164535
154,30383.178920022558
155,21808.17465127224
156,18281.432470532258
157,5515.956248999768
158,31017.5655421508
159,16410.704357280974
160,17025.96008818076
161,20248.381076835765
162,20776.46274184138
163,7828.635694713532
164,11532.318724521296
165,11435.7617258779
166,5012.347674385426
167,17252.023569388715
168,13752.407717954538
169,31277.307377736604
170,12205.98813689483
171,87897.80662740467
172,7746.252701582412
173,16133.601753324137
174,26281.79451629518
175,11996.47783627501
176,38345.89895954053
177,15673.14339713014
178,9535.961503546892
179,740.1527317059086
180,30689.680234629755
181,19841.787611037755
182,33020.32088702724
183,31308.942494002225
184,26257.830130385348
185,7376.509813434088
186,2599.3456348189047
187,9020.219385269613
188,41800.72002301292
189,24532.206882290553
190,3778.724709578977
191,15712.723131574132
192,17655.60247268604
193,22959.522762554378
194,8368.322414233267
195,18392.303798057066
196,1507.2034501500573
197,3195.7952184231713
198,18682.02091577545
199,3528.21015322294
200,16089.150252482004
201,11311.616521523605
202,17612.72467846606
203,12261.963116413877
204,1047.7676406889868
205,17911.616905001458
206,26466.84307982622
207,21059.018823289174
208,12467.684271761691
209,12354.417920914811
210,13152.926914643582
211,12048.46060869668
212,32447.082487988937
213,40452.03301373049
214,23051.348048536467
215,9591.612473772524
216,11460.0900482766
217,13368.745990869935
218,17340.718519426715
219,13367.41075582515
220,10801.032514397162
221,13898.433218494907
222,17618.860465787406
223,16250.187890773854
224,5762.594893078826
225,13196.764311200426
226,5483.964943431802
227,9468.576482968103
228,30968.44960804
229,16113.947852514008
230,1689.3844659364834
231,12327.913068339141
232,17334.580098704035
233,15277.770645077544
234,17508.745229382905
235,10628.526484092865
236,115242.2174910176
237,13415.64297648381
238,9749.926854457604
239,32777.08523672868
240,3014.0658456471906
241,463.24450447807226
242,2963.754322617695
243,30383.178920022558
244,1865.3031446313692
245,6163.955448621915
